,age,sex,wtyrago,finalwt,wtkg2,htm3
548,64.0,1,104.54545454545453,756.274598,104.55,180.0
549,30.0,1,113.63636363636363,2057.62336,104.55,183.0
550,57.0,1,68.18181818181817,425.385698,68.18,175.0
551,57.0,1,120.45454545454544,567.741952,115.91,191.0
552,33.0,2,70.45454545454545,543.252568,70.45,163.0
553,78.0,1,75.0,719.716001,75.0,175.0
554,68.0,2,58.63636363636363,415.928829,55.45,152.0
555,69.0,2,54.54545454545454,207.964414,51.36,157.0
556,80.0,2,65.9090909090909,305.319851,65.91,165.0
557,51.0,2,80.0,892.270239,80.91,165.0
558,31.0,1,82.72727272727272,1028.81168,82.73,175.0
559,70.0,1,114.54545454545453,628.704688,87.73,183.0
560,62.0,1,90.9090909090909,378.137299,90.91,185.0
561,33.0,2,,543.252568,110.91,165.0
562,53.0,2,63.63636363636363,905.476124,68.18,155.0
563,50.0,2,88.63636363636363,905.476124,88.64,157.0
564,72.0,1,109.09090909090908,628.704688,109.09,180.0
565,39.0,2,63.18181818181818,375.301734,63.18,163.0
566,43.0,1,106.81818181818181,737.513734,134.55,185.0
567,70.0,2,59.090909090909086,299.672981,58.18,155.0
568,30.0,2,90.9090909090909,741.621742,86.36,170.0
569,59.0,2,59.090909090909086,363.111207,59.09,163.0
570,58.0,2,,181.555604,,165.0
571,73.0,2,58.18181818181818,149.83649,58.18,163.0
572,80.0,2,61.36363636363636,219.980207,54.55,155.0
573,48.0,2,63.63636363636363,428.581789,63.64,155.0
574,61.0,2,66.81818181818181,363.111207,61.82,157.0
575,53.0,1,107.27272727272727,1424.26918,109.09,180.0
576,64.0,2,84.09090909090908,363.111207,77.27,170.0
577,54.0,2,95.45454545454545,428.581789,104.55,170.0
578,53.0,1,90.9090909090909,474.756392,89.09,180.0
579,90.0,2,68.18181818181817,219.980207,62.27,157.0
580,66.0,2,67.27272727272727,333.716218,67.27,155.0
581,44.0,2,,498.128879,100.0,168.0
582,59.0,1,72.72727272727272,1362.22262,72.73,175.0
583,44.0,2,81.81818181818181,250.201156,72.73,173.0
584,72.0,2,75.0,149.83649,68.18,165.0
585,42.0,1,79.54545454545453,737.513734,79.55,178.0
586,62.0,2,,181.555604,,157.0
587,24.0,2,73.63636363636363,2273.38768,68.18,165.0
588,64.0,1,92.27272727272727,408.938326,88.18,180.0
589,42.0,1,72.72727272727272,982.698685,77.27,178.0
590,51.0,2,76.36363636363636,428.581789,76.36,175.0
591,26.0,1,129.54545454545453,741.249565,129.55,178.0
592,72.0,1,65.9090909090909,452.976074,65.91,173.0
593,82.0,1,86.36363636363636,862.100015,86.36,173.0
594,83.0,2,67.27272727272727,219.980207,67.27,173.0
595,77.0,1,109.09090909090908,259.274453,111.36,183.0
596,56.0,2,63.63636363636363,320.274419,65.91,165.0
597,56.0,2,65.9090909090909,181.555604,65.91,163.0
598,38.0,2,81.81818181818181,375.551106,86.36,173.0
599,48.0,1,124.99999999999999,324.484504,125.0,188.0
600,45.0,1,79.54545454545453,648.969007,79.55,183.0
601,28.0,2,94.99999999999999,556.585888,79.55,160.0
602,62.0,2,113.63636363636363,272.514359,105.45,160.0
603,22.0,1,78.18181818181817,1617.20481,78.18,178.0
604,53.0,2,99.99999999999999,214.290894,113.64,173.0
605,21.0,2,68.18181818181817,1515.59179,56.82,168.0
606,47.0,2,,321.649922,63.64,165.0
607,42.0,2,95.45454545454545,498.128879,114.09,175.0
608,63.0,2,86.36363636363636,721.096262,84.09,
609,42.0,2,84.09090909090908,750.603468,84.09,160.0
